title,company,location,date,link
Data Scientist,Nexstem,India,2025-08-13,https://in.linkedin.com/jobs/view/data-scientist-at-nexstem-4284129183?position=57&pageNum=0&refId=qFXyxM6trhi3oYgbrirX%2FA%3D%3D&trackingId=Zdp31sSw9sFfvLDgAv8jPw%3D%3D
Marketing Data Scientist,PayPal,India,2025-08-12,https://in.linkedin.com/jobs/view/marketing-data-scientist-at-paypal-4283737422?position=58&pageNum=0&refId=qFXyxM6trhi3oYgbrirX%2FA%3D%3D&trackingId=x1apo1kb4kDz%2Bz5cLjVJMQ%3D%3D
Machine Learning Engineer,"Lytx, Inc.",India,2025-08-06,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-lytx-inc-4280855934?position=59&pageNum=0&refId=qFXyxM6trhi3oYgbrirX%2FA%3D%3D&trackingId=Y04A7GdPQLYITx7tVK%2Bvvg%3D%3D
Data Scientist,AstraZeneca,India,2025-08-14,https://in.linkedin.com/jobs/view/data-scientist-at-astrazeneca-4285756746?position=60&pageNum=0&refId=qFXyxM6trhi3oYgbrirX%2FA%3D%3D&trackingId=rOSxNdpg6ZepvYp84ra8Kg%3D%3D
Data Scientist,Sardine,India,2025-08-15,https://in.linkedin.com/jobs/view/data-scientist-at-sardine-4286648771?position=4&pageNum=2&refId=jj5jpcS8kky01XLM4BhaTQ%3D%3D&trackingId=4y6J7YxPa4rcYvrzey%2B3kA%3D%3D
AI / ML Engineer,Accenture services Pvt Ltd,India,2025-08-15,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-accenture-services-pvt-ltd-4286458779?position=5&pageNum=2&refId=jj5jpcS8kky01XLM4BhaTQ%3D%3D&trackingId=x1X%2FGA6k%2Fy8S2qM7cR7n0w%3D%3D
Machine Learning Engineer – ML Ops & Support,Aera Technology,India,2025-08-14,https://in.linkedin.com/jobs/view/machine-learning-engineer-%E2%80%93-ml-ops-support-at-aera-technology-4285700571?position=6&pageNum=2&refId=jj5jpcS8kky01XLM4BhaTQ%3D%3D&trackingId=FPyCCFmrxIn%2BBshlDnYSeQ%3D%3D
AI/ML Engineer,RECRIVIO,India,2025-08-15,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-recrivio-4286439910?position=7&pageNum=2&refId=jj5jpcS8kky01XLM4BhaTQ%3D%3D&trackingId=Wdu9U6TwMyRrReaPzyJLDA%3D%3D
AI / ML Engineer,Accenture services Pvt Ltd,India,2025-08-15,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-accenture-services-pvt-ltd-4286463363?position=2&pageNum=5&refId=Sh3DOnCkAi7zN8ddqDiLrg%3D%3D&trackingId=2T%2BfBhqYASbm2mTudb64BA%3D%3D
AI / ML Engineer,Accenture services Pvt Ltd,India,2025-08-15,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-accenture-services-pvt-ltd-4286457822?position=3&pageNum=5&refId=Sh3DOnCkAi7zN8ddqDiLrg%3D%3D&trackingId=dolOIrFz3ZakK3AL5cbtCA%3D%3D
Aurigene Pharmaceutical Services - Data Scientist - Python,Aurigene Pharmaceutical Services Limited,India,2025-08-17,https://in.linkedin.com/jobs/view/aurigene-pharmaceutical-services-data-scientist-python-at-aurigene-pharmaceutical-services-limited-4287493558?position=4&pageNum=5&refId=Sh3DOnCkAi7zN8ddqDiLrg%3D%3D&trackingId=8rHT8SFVNRQVvwRJIKltrg%3D%3D
"Data Scientist (Machine Learning) (Onsite, Hebbal)",Netsmart,India,2025-08-14,https://in.linkedin.com/jobs/view/data-scientist-machine-learning-onsite-hebbal-at-netsmart-4285932564?position=9&pageNum=5&refId=Sh3DOnCkAi7zN8ddqDiLrg%3D%3D&trackingId=kZ%2BDHXzxi5hVCa8LC5ieFA%3D%3D
